Time,TPS,Latency
14.400787,8855.250919,0.000000
14.401008,8855.613500,0.000000
14.401233,8856.031281,0.000000
14.401445,8856.414596,0.000000
14.401687,8856.849236,0.000000
14.401911,8844.655299,0.000000
14.402116,8845.213989,0.000000
14.402343,8845.770282,0.000000
14.402531,8846.334798,0.000000
14.402758,8846.880025,0.000000
14.402967,8847.437238,0.000000
14.403162,8848.005621,0.000000
14.403236,8848.560419,0.000000
14.403466,8849.139136,0.000000
14.407435,8849.693773,0.000000
14.408108,8850.259529,1.000000
14.408130,8850.834128,0.000000
14.408449,8851.482918,0.000000
14.414312,8852.035902,0.000000
14.434704,8850.291584,0.000000
14.435388,8850.571961,0.000000
14.435631,8851.252986,0.000000
14.435711,8851.750777,0.000000
14.436697,8848.844249,0.000000
14.439462,8837.036178,0.000000
14.440838,8837.310266,0.000000
14.459834,8837.853802,0.000000
14.460026,8838.498010,0.000000
14.460122,8838.586934,0.000000
14.460168,8837.586859,0.000000
14.460193,8837.437503,0.000000
14.460306,8826.519006,0.000000
14.460389,8827.093420,0.000000
14.462335,8827.726121,0.000000
14.462415,8828.390128,0.000000
14.466927,8829.066290,0.000000
14.467013,8829.688870,0.000000
14.467056,8830.329479,0.000000
14.467097,8829.832981,0.000000
14.467147,8830.475256,0.000000
14.467187,8828.412354,0.000000
14.467230,8829.051330,0.000000
14.467168,8829.716212,0.000000
14.467212,8830.382437,0.000000
14.467255,8831.043063,0.000000
14.467792,8832.400958,0.000000
14.470757,8833.757268,0.000000
14.470826,8831.721363,0.000000
14.470907,8833.076939,0.000000
14.470940,8834.433066,0.000000
14.471071,8834.796502,0.000000
14.471133,8833.677184,0.000000
14.471254,8834.326313,0.000000
14.473009,8834.968006,0.000000
14.477717,8835.638593,0.000000
14.480468,8836.249897,0.000000
14.480560,8836.902841,0.000000
14.480621,8837.520180,0.000000
14.481516,8837.139711,0.000000
14.482303,8834.956633,0.000000
14.483125,8833.968829,0.000000
14.483213,8834.603259,0.000000
14.483268,8835.256520,0.000000
14.483336,8835.400883,0.000000
14.483415,8835.611043,0.000000
14.483455,8835.800539,0.000000
14.483490,8836.437078,0.000000
14.489726,8837.094177,0.000000
14.497552,8837.743186,0.000000
14.497787,8838.385349,0.000000
14.498413,8839.050899,0.000000
14.498689,8839.720388,0.000000
14.500657,8836.606121,0.000000
14.501935,8832.525529,0.000000
14.502495,8833.072070,0.000000
14.504014,8833.380515,0.000000
14.504110,8833.902282,0.000000
14.504368,8833.392758,0.000000
14.504563,8833.304248,0.000000
14.505104,8833.652188,0.000000
14.506543,8833.416761,0.000000
14.506707,8834.047703,0.000000
14.507047,8834.579962,0.000000
14.510236,8835.150881,0.000000
14.511117,8835.510742,0.000000
14.513628,8835.323786,0.000000
14.513821,8835.913009,0.000000
14.514519,8836.395319,0.000000
14.515888,8835.142461,0.000000
14.517966,8835.294833,0.000000
14.517995,8834.455578,0.000000
14.518020,8835.026870,0.000000
14.518051,8835.291164,0.000000
14.518136,8835.146855,0.000000
14.518209,8834.570878,0.000000
14.520625,8835.242005,0.000000
14.521819,8835.915362,0.000000
14.523663,8836.585420,0.000000
14.524019,8837.222376,0.000000
14.524405,8837.867289,0.000000
14.524929,8837.084901,0.000000
14.529694,8837.046900,0.000000
14.530553,8836.613459,0.000000
14.531479,8837.085404,0.000000
14.533294,8837.539249,0.000000
14.533380,8837.908721,0.000000
14.534899,8835.698760,0.000000
14.539790,8835.864424,0.000000
14.539854,8835.989506,0.000000
14.539833,8835.574372,0.000000
14.540174,8836.210387,0.000000
14.540355,8835.974965,0.000000
14.540573,8833.690018,0.000000
14.540666,8835.026715,0.000000
14.541099,8834.351735,0.000000
14.541685,8835.520277,0.000000
14.543699,8836.098007,0.000000
14.543784,8836.653212,0.000000
14.544092,8837.284091,0.000000
14.557299,8837.708821,0.000000
14.571222,8838.040610,0.000000
14.571295,8837.504384,0.000000
14.571333,8838.139933,0.000000
14.571451,8838.640738,0.000000
14.571464,8831.308762,0.000000
14.571687,8823.556459,0.000000
14.571730,8824.198258,0.000000
14.572655,8824.861878,0.000000
14.573170,8825.476813,0.000000
14.573245,8826.155061,0.000000
14.574315,8826.706377,0.000000
14.574385,8827.366414,0.000000
14.574447,8827.492515,0.000000
14.574473,8827.866602,0.000000
14.574619,8828.507082,0.000000
14.577390,8828.545463,0.000000
14.577485,8829.189322,0.000000
14.577508,8829.837743,0.000000
